code,EN,FR,DE,IT,PT,RU,ES,JA,ZH
main.title,Fifty shades of play - the complete history of every No. 1 tennis player in the ATP ranking,L'histoire complète de chaque No 1 mondial du tennis au classement de l'ATP,Die Geschichte aller Nummern 1 im ATP-Ranking,50 sfumature di gioco - la storia completa di tutti i n.1 del tennis mondiale nella classifica ATP,Cinquenta tons de jogo - a história completa de cada tenista número 1 no ranking ATP,Пятьдесят оттенков тенниса - кто и когда был первым в мировом рейтинге ATP,Cincuenta estilos de juego - la historia completa de cada tenista número 1 en el ránking ATP,男子テニス世界ランキング１位プレイヤー25人、これまでの順位を完全網羅,网球世界的“50度灰”：盘点ATP世界网球球员排行榜历届冠军
descr,"Since its creation in 1973, only 26 players have reached the summit of the Association of Tennis Professionals (ATP) ranking. The weekly ranking of these 26 players is shown below.","Depuis sa création en 1973, seuls 26 joueurs ont atteint le sommet du classement de l'Association of Tennis Professionals (ATP). Voici leur classement hebdomadaire.",Seit ihrer Gründung 1973 haben es nur 26 Spieler an die Spitze des internationalen Tennisverbands Association of Tennis Professionals (ATP) geschafft. Das wöchentliche Ranking dieser 26 Spieler ist unten dargestellt.,"Dalla sua creazione nel 1973, soltanto 26 giocatori hanno raggiunto la vetta della classifica stilata dall'Association of Tennis Professionals (ATP). Ecco il loro piazzamento settimanale.","Desde sua criação em 1973, apenas 26 jogadores atingiram o topo da classificação da Associação dos Tenistas Profissionais (ATP). O ranking semanal desses 26 jogadores é mostrado abaixo.",С момента своего основания в 1973 году только 26 игроков смогли добраться до первой позиции рейтинга Ассоциации теннисистов-профессионалов (ATP). На этом графике представлена эволюция рейтинга этих выдающихся спортсменов.,"Desde su creación en 1973, solo 26 jugadores han alcanzado la cumbre del ránking de la Asociación de Tenistas Profesionales (ATP). La clasificación semanal de estos 26 jugadores se muestra abajo.",男子プロテニス協会（ATP）が創設された1973年以降、26人が1位の座に。,自1973年ATP排行榜诞生，迄今只有26位选手荣登职业网球联合会( the Association of Tennis Professionals，缩写：ATP)排行榜的榜首。他们的周积分排名详情请参见下图。
source,Source,source,Quelle,Fonte,fonte,Источник,Fuente,出典,来源
source.name,ATP Word Tour,ATP World Tour,ATP Word Tour,ATP Word Tour,ATP World Tour,ATP Word Tour,ATP Word Tour,ATPワールドツアー,ATP世界巡回赛
source.link,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com,http://www.atpworldtour.com
legend.title,ATP ranking,Classement ATP,ATP-Ranking,Classifica ATP,ATP ranking,Рейтинг ATP,Ránking ATP,男子テニス世界ランキング,ATP排名
gap,"When it started out, the ATP had to ""borrow"" computer time to establish its rankings as personal computers weren't around yet. At times, they could not get the computer to work, so rankings were calculated by hand. Prior to 1984, the ranking was intermittent with many gaps.","Au début l’ATP devait «emprunter» du temps d’ordinateur pour établir ses classements, car il n’y avait pas encore d’ordinateurs personnels. Il arrivait qu’aucune machine ne soit disponible et que l’on doive calculer à la main. Avant 1984, le classement comporte pas mal de lacunes.","Am Anfang musste die ATP Computerzeit ""ausleihen"", um ihre Rankings zu berechnen, da es noch keine PC gab. Ab und zu machten die Computer schlapp, weshalb die Rankings von Hand berechnet werden mussten. Vor 1984 gab es zahlreiche Lücken in den Rankings.","All'inizio l'ATP doveva ""chiedere in prestito"" l'uso di calcolatori perché non c'erano ancora i computer individuali. Capitava che non ci fossero macchine a disposizione e che bisognasse dunque calcolare a mano. Prima del 1984 la classifica comporta dunque numerose lacune.","Quando começou, a ATP teve que ""tomar
emprestado"" os computadores para estabelecer a classificação. Às vezes, quando
não conseguiam um computador para trabalhar, os rankings eram calculados à mão.
Antes de 1984, o ranking era intermitente e com muitas lacunas.","В самом начале своей истории ATP вынуждена была для расчетов рейтинга покупать компьютерное время, поскольку персональных компьютеров тогда еще не было. Часто техника не выдерживала и отказывала, и тогда рейтинг приходилось рассчитывать вручную. Поэтому в период до 1984 году в рейтинге существуют значительные пробелы.","Cuando comenzó, la ATP tuvo que ""tomar prestados"" ordenadores para establecer la clasificación, pues aún no había ordenadores personales. A veces, no conseguía hacer funcionar el ordenador, por lo que los ránkings se calculaban a mano. Antes de 1984, la clasificación era intermitente y presentaba muchas lagunas.",ATPは設立当初、 コンピュータを他から拝借して ランキングリストを作成していた。 当時は人が頭で計算して 順位をつけることもあった。 １９８４年以前の ランキングには順位が 欠けていることがよくあった。,"在ATP诞生之初, 个人电脑并未普及, 因此ATP需借助计算机时间来记录名次排行, 但偶尔也会通过人工计分来制定排行榜。 1984年之前, 该排行榜并非每年公布一次。"
connors,"Connors remained No. 1 for 160 consecutive weeks, a record held for 30 years before being overtaken by Federer in 2007","Connors est resté No 1 160 semaines consécutives, un record qui a tenu 30 ans avant d’être battu en 2007 par Federer","Connors blieb während 160 aufeinanderfolgenden Wochen Nummer 1, ein Rekord, den er während 30 Jahren aufrechterhalten konnte, bis er 2007 von Federer überholt wurde","Connors è rimasto n.1 160 settimane consecutive, un record difeso per 30 anni, prima di essere battuto nel 2007 da Federer.","Connors permaneceu No. 1 por 160 semanas consecutivas, um recorde detido durante 30 anos antes de ser batido por Federer em 2007","Долгое время Джимми Коннорс оставался лидером рейтинга: он был на первой позиции 160 недель. Этот личный рекорд продержался 30 лет до 2007 года, пока лидерство не завоевал швейцарец Роджер Федерер.","Connors fue número 1 durante 160 semanas consecutivas, un récord que Federer le arrebató en 2007.",コナーズは１６０週間１位をキープ。 ３０年間続いたこの記録は２００７年に フェデラーに破られた。,"甘纳斯曾连续160周占据榜首。作为叱咤网坛的名将, 他的这一纪录直至2007年才被费德勒打破。"
sampras,"Sampras stayed No. 1 for a total of 286 weeks, he is 2nd at the most weeks as ATP leader","Sampras est resté No 1 286 semaines, c’est le second leader à l’ATP ayant tenu le plus longtemps","Sampras war insgesamt während 286 Wochen Nummer 1, womit er den 2. Platz mit den meisten Wochen als ATP-Spitze einnimmt","Sampras è rimasto n.1 286 settimane, è il secondo tennista ATP di maggior successo.","Sampras ficou No. 1 em um total de 286 semanas, ele é o segundo no máximo de semanas como líder ATP","Пит Сампрас оставался номером 1 рейтинга 286 недель, тем самым он занимает 2 место по продолжительности нахождения в статусе лидера ATP.","Sampras fue número 1 durante 286 semanas, el segundo récord de semanas en lo alto de la ATP",サンプラスは計２８６週で１位だったが、 ２位だった期間が一番長かった人としては歴代１位。,森伯斯共计有286周周计分牌名位居世界第一。
agassi,"Despite numerous injuries, at 33 years old Agassi is the oldest No. 1","Malgré de nombreuses blessures, Agassi reste à 33 ans le plus vieux No 1",Trotz zahlreichen Verletzungen ist Agassi mit 33 Jahren die älteste Nummer 1,"Nonostante numerose fratture, a 33 anni Agassi è il più vecchio n.1.","Apesar das inúmeras lesões, aos 33 anos de idade Agassi é o mais velho No. 1",Несмотря на многочисленные травмы Андре Агасси (33 года) сумел стать самым возрастным лидером рейтинга,"Con 33 años y pese a múltiples lesiones, Agassi es el número 1 más veterano",怪我によく見舞われたアガシは最年長３３歳で１位に。,"虽然伤病无数, 老将阿加西仍以33岁高龄成为年龄最大的周冠军。"
federer,Federer holds the record for the most weeks (302) and most consecutive weeks at No. 1 (237),Federer est resté No 1 le plus longtemps (302 semaines) et le plus de semaines consécutives (237),Federer hält den Rekord für die meisten Wochen (302) und die meisten aufeinanderfolgenden Wochen (237) als Weltnummer 1,Federer detiene il record di settimane (302) e settimane consecutive (237) in cima alla classifica ATP.,Federer detém o recorde de maior número de semanas (302) e mais semanas consecutivas como No. 1 (237),Роджер Федерер держит рекорд по пребыванию в лидерах (302 недели) и по количеству непрерывно следовавших друг за другом недель лидерства (237).,Federer tiene el récord de más semanas (302) y más semanas consecutivas (237) como número 1,フェデラーは計３０２週、 連続２３７週１位で、 歴代記録保持者。,"费德勒以302次周计分第一成为世界纪录的创造者, 同时他也连续237周位居榜首。"
murray,"After more than 12 years of dominance by Federer, Nadal and Djokovic, Andy Murray has become the 26th player to reach the top of the ATP ranking – and the first Briton to do so","Après plus de 12 ans de domination de Federer, Nadal et Djokovic, Andy Murray est devenu le 26e joueur à atteindre le sommet du classement ATP - et aussi le premier Britannique","Nachdem Federer, Nadal und Djokovic mehr als 12 Jahren dominiert hatten, übernahm Andy Murray als 26. Spieler die Spitze des ATP-Rankings - und als erster Brite überhaupt.","Dopo oltre 12 anni di dominio Federer, Nadal e Djokovic, Andy Murray diventa il 26esimo giocatore a raggiungere la vetta della classifica ATP.","Depois de mais de 12 anos nas primeiras posições do tênis, Federer, Nadal e Djokovic, Andy Murray se tornar o 26° jogador a alcançar a primeira posição no ranking da ATP","

Энди Мюррей стал
26-м игроком, который – после 12-летнего господства Федерера, Надаля и
Джоковича – достиг вершины рейтинга ATP, и первым сделавшим это британцем.

","Tras más de 12 años de predominio entre Federer, Nadal y Djokovic, Andy Murray se ha convertido en el jugador número 26 en ocupar el primer sitio de la lista de la ATP",,"世界网坛12年来一直被费德勒、乔科维奇和纳达尔称霸，而现在，穆雷成为进入ATP排行榜的第26位高手，也是英国第一位入榜选手。
"
Andy.Murray,Andy Murray (GBR),Andy Murray (GBR),Andy Murray (GBR),Andy Murray (GBR),Andy Murray (GBR),Энди Мюррей (Великобритания),Andy Murray (GBR),,安迪·穆雷(英国)
Novak.Djokovic,Novak Djokovic (SRB),Novak Djokovic (SRB),Novak Djokovic (SRB),Novak Djokovic (SRB),Серьби,Новак Джокович (Сербия),Novak Djokovic (SRB),ノバク・ジョコビッチ（セルビア）,诺瓦克·乔科维奇(塞维利亚)
Rafael.Nadal,Rafael Nadal (ESP),Rafael Nadal (ESP),Rafael Nadal (ESP),Rafael Nadal (ESP),Rafael Nadal (ESP),Рафаэль Надаль (Испания),Rafael Nadal (ESP),ラファエル・ナダル（スペイン）,拉斐尔·拿度(西班牙)
Roger.Federer,Roger Federer (SUI),Roger Federer (SUI),Roger Federer (SUI),Roger Federer (SUI),Roger Federer (SUI),Роджер Федерер (Швейцария),Roger Federer (SUI),ロジャー・フェデラー（スイス）,"罗杰·费德勒(瑞士)
"
Andy.Roddick,Andy Roddick (USA),Andy Roddick (USA),Andy Roddick (USA),Andy Roddick (USA),Andy Roddick (USA),Энди Роддик (США),Andy Roddick (USA),アンディ・ロディック（米国）,安迪·罗迪克(美国)
