"","Roger Federer","Pete Sampras","Ivan Lendl","Jimmy Connors","Novak Djokovic","John McEnroe","Rafael Nadal","Bjorn Borg","Andre Agassi","Lleyton Hewitt","Stefan Edberg","Jim Courier","Gustavo Kuerten","Andy Murray","Ilie Nastase","Mats Wilander","Andy Roddick","Boris Becker","Marat Safin","Juan Carlos Ferrero","John Newcombe","Yevgeny Kafelnikov","Thomas Muster","Marcelo Rios","Carlos Moya","Patrick Rafter"
"08/23/1973",NA,NA,NA,10,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"09/13/1973",NA,NA,NA,10,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"09/26/1973",NA,NA,NA,5,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"10/15/1973",NA,NA,NA,3,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"10/31/1973",NA,NA,NA,4,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"11/26/1973",NA,NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"12/14/1973",NA,NA,NA,3,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"03/02/1974",NA,NA,NA,4,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"04/19/1974",NA,NA,NA,4,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"05/01/1974",NA,NA,NA,4,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"06/03/1974",NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"07/29/1974",NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"08/09/1974",NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
