"","x"
"Roger Federer","SUI"
"Pete Sampras","USA"
"Ivan Lendl","USA"
"Jimmy Connors","USA"
"Novak Djokovic","SRB"
"John McEnroe","USA"
"Rafael Nadal","ESP"
"Bjorn Borg","SWE"
"Andre Agassi","USA"
"Lleyton Hewitt","AUS"
"Stefan Edberg","SWE"
"Jim Courier","USA"
"Gustavo Kuerten","BRA"
"Ilie Nastase","ROU"
"Andy Murray","GBR"
"Mats Wilander","SWE"
"Andy Roddick","USA"
"Boris Becker","GER"
"Marat Safin","RUS"
"Juan Carlos Ferrero","ESP"
"John Newcombe","AUS"
"Yevgeny Kafelnikov","RUS"
"Thomas Muster","AUT"
"Marcelo Rios","CHI"
"Carlos Moya","ESP"
"Patrick Rafter","AUS"
