"key","value"
"Novak.Djokovic","Novak Djokovic (SRB)"
"Rafael.Nadal","Rafael Nadal (ESP)"
"Roger.Federer","Roger Federer (SUI)"
"Andy.Roddick","Andy Roddick (USA)"
"Juan.Carlos.Ferrero","Juan Carlos Ferrero (ESP)"
"Lleyton.Hewitt","Lleyton Hewitt (AUS)"
"Gustavo.Kuerten","Gustavo Kuerten (BRA)"
"Marat.Safin","Marat Safin (RUS)"
"Patrick.Rafter","Patrick Rafter (AUS)"
"Yevgeny.Kafelnikov","Yevgeny Kafelnikov (RUS)"
"Carlos.Moya","Carlos Moya (ESP)"
"Marcelo.Rios","Marcelo Rios (CHI)"
"Thomas.Muster","Thomas Muster (AUT)"
"Andre.Agassi","Andre Agassi (USA)"
"Pete.Sampras","Pete Sampras (USA)"
"Jim.Courier","Jim Courier (USA)"
"Boris.Becker","Boris Becker (GER)"
"Stefan.Edberg","Stefan Edberg (SWE)"
"Mats.Wilander","Mats Wilander (SWE)"
"Ivan.Lendl","Ivan Lendl (USA)"
"John.McEnroe","John McEnroe (USA)"
"Bjorn.Borg","Bjorn Borg (SWE)"
"Jimmy.Connors","Jimmy Connors (USA)"
"John.Newcombe","John Newcombe (AUS)"
"Ilie.Nastase","Ilie Nastase (ROU)"
